name,age,sex,phone number,ID card,date of birth,congenital disase
Barbara Holmes,28,female,83594531,139,29/8/1993,None
Bertha Lattimore,32,female,80541813,140,10/12/1989,None
Seth Martin,18,male,84919293,141,12/1/2003,None
Betty Kelly,59,female,83664841,142,9/1/1962,None
Harold Delcastillo,10,male,88738893,143,1/2/2011,None
Stephanie Franks,35,female,85044685,144,14/12/1986,None
Cynthia Conly,18,female,86218465,145,10/12/2003,None
Mike Moore,35,male,88310361,146,25/9/1986,None
Jeffrey Krivanek,21,male,88188316,147,13/5/2000,None
Steve Logiudice,41,male,85220185,148,27/7/1980,None
Leo Vanvleck,27,male,085636498,149,2/9/1994,None
